Name,Value,,,,,,,,,,,,,,,
Schedule,PosnerExogenous_probe_tone,,,,,,,,,,,,,,,
Environment,Chamber4 [4],,,,,,,,,,,,,,,
Date/Time,13/07/2019 18:36,,,,,,,,,,,,,,,
Database,TEST,,,,,,,,,,,,,,,
SessionId,1051,,,,,,,,,,,,,,,
Index,0,,,,,,,,,,,,,,,
Version,N/A,,,,,,,,,,,,,,,
MachineName,KMBD-03541-W,,,,,,,,,,,,,,,
SGuid,,,,,,,,,,,,,,,,
Animal ID,999,,,,,,,,,,,,,,,
Application_Version,ABET II Touch 18.11.01.0,,,,,,,,,,,,,,,
Max_Number_Trials,0,,,,,,,,,,,,,,,
Max_Schedule_Time,0,,,,,,,,,,,,,,,
Schedule_Start_Time,2019-07-13T18:36:55.200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
----------,,,,,,,,,,,,,,,,
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
18.874,16,Variable Event,Hold_Success_Counter,,9,1,Value,1,,,,,,,,
18.874,16,Variable Event,aCounter_NoAE,,9,1,Value,1,,,,,,,,
18.874,16,Variable Event,First_Analysis,,9,1,Value,0,,,,,,,,
18.874,16,Variable Event,Change_Hold_Time,,9,1,Value,1,,,,,,,,
18.874,61,Group Maintain Event,Group Change,,9,1,New Group,9,,,,,,,,
19.008,31,Touch Up Event,Posner task,,9,4,Position,3,Image 1,0,CoordX,74,CoordY,198,,
19.059,38,Input Transition On Event,FIRBeam #1,,9,0,,,,,,,,,,
19.07,39,Input Transition Off Event,FIRBeam #1,,9,0,,,,,,,,,,
19.491,38,Input Transition On Event,BIRBeam #1,,9,0,,,,,,,,,,
19.631,39,Input Transition Off Event,BIRBeam #1,,9,0,,,,,,,,,,
19.634,38,Input Transition On Event,Tray #1,,9,0,,,,,,,,,,
19.634,1,Condition Event,Reward Collected,,9,0,,,,,,,,,,
19.634,4,Output Off Event,TrayLight #1,,9,0,,,,,,,,,,
19.634,29,Timer Event,After_Reward_Timer,,9,1,Value,0,,,,,,,,
19.634,16,Variable Event,Reward_counter,,9,1,Value,1,,,,,,,,
19.634,21,Group Change Event,Group Change,,9,1,New Group,35,,,,,,,,
19.734,38,Input Transition On Event,BIRBeam #1,,35,0,,,,,,,,,,
19.914,39,Input Transition Off Event,BIRBeam #1,,35,0,,,,,,,,,,
19.969,38,Input Transition On Event,BIRBeam #1,,35,0,,,,,,,,,,
20.009,39,Input Transition Off Event,BIRBeam #1,,35,0,,,,,,,,,,
20.01,39,Input Transition Off Event,Tray #1,,35,0,,,,,,,,,,
21.634,1,Condition Event,AfterReward_Pause,,35,0,,,,,,,,,,
21.634,29,Timer Event,ITI_Timer,,35,1,Value,0,,,,,,,,
21.634,16,Variable Event,After_Reward_Timer,,35,1,Value,2,,,,,,,,
21.634,16,Variable Event,After_Reward_Timer,,35,1,Value,0,,,,,,,,
21.634,21,Group Change Event,Group Change,,35,1,New Group,10,,,,,,,,
26.634,1,Condition Event,Next trial,,10,0,,,,,,,,,,
26.634,16,Variable Event,ITI_Timer,,10,1,Value,5,,,,,,,,
26.634,16,Variable Event,ITI_Timer,,10,1,Value,0,,,,,,,,
26.634,16,Variable Event,SkipTrial_inc,,10,1,Value,0,,,,,,,,
26.634,16,Variable Event,First_Analysis,,10,1,Value,1,,,,,,,,
26.634,16,Variable Event,Hold_Timer,,10,1,Value,0.632,,,,,,,,
26.634,16,Variable Event,Hold_Timer,,10,1,Value,0,,,,,,,,
26.634,16,Variable Event,zzRT_Timer,,10,1,Value,0.457,,,,,,,,
26.634,16,Variable Event,zzRT_Timer,,10,1,Value,0,,,,,,,,
26.634,16,Variable Event,zzMT_Timer,,10,1,Value,0.878,,,,,,,,
