Schedule,Animal_Id,Group_Id,Date,Database,Chamber,Session_Id,Day,TimeStamp,Trial_Number,Cue_Type,Cue_Validity,Cue_Time,Hold_Time,Target_Time,Correct_Selection,AnticipationError,CommissionError,OmissionError,Reaction_Time,Movement_Time,Touchscreen_error,Audio_Tone,Concecutive_Ant_Errors_Before_Trial,Ant_Error_Train_After_Trial,Percentage_Anticipation_Errors,Percentage_Anticipation_Errors_Per_Mouse
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1068.013,68,Left,Invalid,0.15,0.187,1.0,1,0,0,0,1.0050049,0.27905273,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1078.871,69,Right,Invalid,0.15,0.185,1.0,1,0,0,0,0.6419678,0.21899414,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1090.577,70,Left,Valid,0.15,0.18,1.0,0,0,1,0,0.43103027,0.17907715,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1109.577,71,Right,Invalid,0.15,0.192,1.0,1,0,0,0,0.4810791,0.27893066,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1118.952,72,Right,Valid,0.15,0.176,1.0,1,0,0,0,0.32202148,0.21801758,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1134.089,73,Left,Invalid,0.15,0.187,1.0,0,0,0,1,0.23498535,NaN,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1150.267,74,Left,Invalid,0.15,0.194,1.0,0,0,0,1,0.51989746,NaN,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1167.815,75,Left,Valid,0.15,0.189,1.0,1,0,0,0,0.48498535,0.43798828,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1179.092,76,Right,Invalid,0.15,0.195,1.0,0,0,1,0,0.34399414,0.23901367,0,no_tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1192.177,77,Left,Invalid,0.15,0.176,1.0,0,0,1,0,0.42004395,1.605957,0,tone,0,0,6.557377,6.557377
PosnerExogenous_probe_tone,999,null,20190713,TEST,4,1051,0,1205.73,78,Left,Valid,0.15,0.185,1.0,0,0,0,1,0.78100586,NaN,2,no_tone,0,0,6.557377,6.557377
